identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
Atom,DOWNLOADABLE_EXECUTABLES,"[https://atom.io](https://atom.io ""https://atom.io"")
",false,false,,,,critical,,2017-06-23 17:27:08 UTC,2023-01-24 13:25:40 UTC
*.githubusercontent.com,URL,"",true,true,,,,critical,,2021-06-21 18:04:59 UTC,2023-01-24 13:25:35 UTC
api.github.com,URL,"The GitHub API is used by thousands of developers and applications to programatically interact with GitHub data and services. Because so much of the GitHub.com functionality is exposed in the API, security has always been a high priority.

Rewards range from $555 up to $20,000 and are determined at our discretion based on a number of factors.

You can find the app at [https://api.github.com](https://api.github.com ""https://api.github.com"") and can find the API documentation at [https://developer.github.com](https://developer.github.com ""https://developer.github.com"").

",true,true,high,high,high,critical,,2017-06-22 23:21:27 UTC,2023-01-24 13:25:35 UTC
npmjs.org,URL,"This is the domain for npm’s registry, public-facing databases, and APIs. All subdomains under npmjs.org are in scope.",true,true,,,,critical,,2021-09-14 18:59:04 UTC,2023-01-24 13:25:36 UTC
*.githubapp.com,URL,"Subdomains under `*.githubapp.com` provide a number of internal services to GitHub employees. Not all subdomains are [in-scope](https://bounty.github.com/#scope)
",true,true,,,,critical,,2017-06-23 18:04:35 UTC,2023-01-24 13:25:35 UTC
npmjs.com,URL,This is the domain for npm’s public-facing websites. All subdomains under npmjs.com are in scope.,true,true,,,,critical,,2021-09-14 18:58:04 UTC,2023-01-24 13:25:35 UTC
education.github.com,URL,GitHub Education offers a variety of tools to help educators and researchers work more effectively inside and outside of the classroom. More details are available at https://education.github.com/. GitHub Classroom is [open-source](https://github.com/education/classroom),true,true,,,,critical,,2019-02-19 19:39:46 UTC,2023-01-24 13:25:35 UTC
Electron,DOWNLOADABLE_EXECUTABLES,"Electron vulnerabilities which do not directly affect GitHub Desktop are out-of-scope and should be [reported](https://electronjs.org/community) to the Electron developers.

",false,false,,,,critical,,2017-06-23 17:28:37 UTC,2023-01-24 13:25:40 UTC
gist.github.com,URL,"Gist is one of the first products launched by GitHub after GitHub.com. It is a service for sharing snippets of code or other text content. Gist is built on Ruby on Rails and leverages a number of Open Source technologies.

Rewards range from $555 up to $20,000 and are determined at our discretion based on a number of factors. For example, if you find a reflected XSS that is only possible in Opera, and Opera is \<2% of our traffic, then the severity and reward will be lower. But a persistent XSS that works in Chrome, at \>60% of our traffic, will earn a much larger reward.

You can find the app at [https://gist.github.com](https://gist.github.com ""https://gist.github.com"").

",true,true,medium,medium,medium,critical,,2017-06-22 23:25:49 UTC,2023-01-24 13:25:35 UTC
github.com,URL,"GitHub.com is our main web site. It is our most intricate application with a number of user inputs and access methods. GitHub.com is built on Ruby on Rails and leverages a number of Open Source technologies.

Rewards range from $555 up to $20,000 and are determined at our discretion based on a number of factors. For example, if you find a reflected XSS that is only possible in Opera, and Opera is \<2% of our traffic, then the severity and reward will be lower. But a persistent XSS that works in Chrome, at \>60% of our traffic, will earn a much larger reward.

You can find the app at [https://github.com](https://github.com ""https://github.com"").

",true,true,high,high,high,critical,,2017-06-22 23:21:07 UTC,2023-01-24 13:25:35 UTC
